t,qx,qy,qz,qw
10.536,-0.150418,0.190081,0.508399,0.826302
10.556,-0.149087,0.192515,0.508744,0.825767
10.576,-0.147662,0.194958,0.509068,0.825250
10.596,-0.146164,0.197411,0.509363,0.824751
10.620,-0.144361,0.200378,0.509648,0.824177
10.636,-0.143190,0.202369,0.509822,0.823787
10.656,-0.141731,0.204870,0.510014,0.823302
10.672,-0.140560,0.206878,0.510153,0.822915
10.692,-0.139092,0.209389,0.510317,0.822427
10.708,-0.137923,0.211395,0.510445,0.822031
10.728,-0.136471,0.213890,0.510649,0.821502
10.744,-0.135308,0.215872,0.510807,0.821077
10.764,-0.133853,0.218333,0.511009,0.820539
10.784,-0.132395,0.220768,0.511217,0.819994
10.800,-0.131223,0.222698,0.511388,0.819554
10.816,-0.130046,0.224610,0.511561,0.819112
10.836,-0.128561,0.226975,0.511778,0.818558
10.852,-0.127356,0.228846,0.511940,0.818124
10.876,-0.125507,0.231613,0.512143,0.817504
10.896,-0.123949,0.233879,0.512314,0.816989
10.912,-0.122689,0.235665,0.512454,0.816579
10.928,-0.121413,0.237425,0.512591,0.816173
