t,qx,qy,qz,qw
3.076,-0.21786653995513916,-0.1332206130027771,0.4911055564880371,-0.832827627658844
3.096,-0.21816225349903107,-0.13338768482208252,0.49526575207710266,-0.8302559852600098
3.112,-0.21842342615127563,-0.13352611660957336,0.49860674142837524,-0.8281625509262085
3.128,-0.21869897842407227,-0.13367372751235962,0.5019506812095642,-0.8260433673858643
3.148,-0.2190556526184082,-0.13387620449066162,0.5061026811599731,-0.8233783841133118
3.164,-0.21934400498867035,-0.13404910266399384,0.5094029903411865,-0.8212354183197021
3.184,-0.21970584988594055,-0.13427746295928955,0.513500452041626,-0.8185451626777649
3.204,-0.22006681561470032,-0.13452257215976715,0.517562210559845,-0.8158453702926636
3.224,-0.2204241156578064,-0.13478556275367737,0.5215870141983032,-0.8131378293037415
3.244,-0.22077499330043793,-0.13506364822387695,0.5255756974220276,-0.8104236721992493
3.264,-0.22110767662525177,-0.13534824550151825,0.5295636653900146,-0.8076847791671753
3.284,-0.22142210602760315,-0.13564574718475342,0.5335160493850708,-0.8049429655075073
3.3,-0.22165556252002716,-0.13588736951351166,0.5366551280021667,-0.8027482628822327
3.316,-0.22187206149101257,-0.13612787425518036,0.5397753715515137,-0.8005527257919312
3.336,-0.2221187800168991,-0.136424258351326,0.5436388254165649,-0.7978148460388184
3.356,-0.22233718633651733,-0.13670486211776733,0.5474736094474792,-0.7950790524482727
3.376,-0.22252734005451202,-0.13696537911891937,0.5512811541557312,-0.7923454642295837
3.392,-0.22265774011611938,-0.1371556669473648,0.5543174743652344,-0.7901543974876404
3.412,-0.22281335294246674,-0.13738329708576202,0.5581215620040894,-0.7873883247375488
3.432,-0.22300401329994202,-0.13764654099941254,0.5618801712989807,-0.784610390663147
3.456,-0.22326777875423431,-0.1379847377538681,0.5663370490074158,-0.7812643647193909
3.48,-0.22355027496814728,-0.13831543922424316,0.5707226991653442,-0.7779266238212585
3.5,-0.22378411889076233,-0.13854995369911194,0.574367344379425,-0.7751302123069763
3.52,-0.22402499616146088,-0.13874711096286774,0.5779784917831421,-0.7723360061645508
3.536,-0.22422268986701965,-0.13887012004852295,0.5808465480804443,-0.77010178565979
3.556,-0.2244747132062912,-0.1389773190021515,0.5844064950942993,-0.7673105001449585
3.576,-0.22473940253257751,-0.13902835547924042,0.5879402160644531,-0.764519214630127
3.596,-0.22502444684505463,-0.13901974260807037,0.5914452075958252,-0.7617284655570984
3.616,-0.22533954679965973,-0.13894575834274292,0.5949311256408691,-0.7589288949966431
3.632,-0.22561267018318176,-0.1388482302427292,0.5976807475090027,-0.7567020654678345
3.648,-0.2259070873260498,-0.13870719075202942,0.6004143357276917,-0.7544727921485901
3.664,-0.22622297704219818,-0.1385207176208496,0.6031329035758972,-0.7522405385971069
3.684,-0.22664590179920197,-0.13821637630462646,0.6065112352371216,-0.7494478225708008
3.708,-0.22718948125839233,-0.13774549961090088,0.6105128526687622,-0.7461134791374207
3.728,-0.22767587006092072,-0.13725709915161133,0.6138184666633606,-0.7433378100395203
3.748,-0.2282184511423111,-0.13669687509536743,0.6171032190322876,-0.7405498027801514
3.772,-0.228984996676445,-0.13599565625190735,0.6209753751754761,-0.7371978759765625
3.788,-0.2295551896095276,-0.13549885153770447,0.6235246062278748,-0.7349569201469421
3.808,-0.2303164303302765,-0.13482730090618134,0.6266905069351196,-0.7321441173553467
3.832,-0.23127633333206177,-0.13392572104930878,0.6304653286933899,-0.7287583351135254
3.852,-0.23210011422634125,-0.13307638466358185,0.6335945725440979,-0.7259325981140137
3.872,-0.23293669521808624,-0.1321268379688263,0.6367378830909729,-0.7230823040008545
3.888,-0.23361138999462128,-0.13130001723766327,0.6392450332641602,-0.720799446105957
3.908,-0.234455868601799,-0.13018283247947693,0.6423701643943787,-0.7179439663887024
3.932,-0.2354613095521927,-0.1287197470664978,0.6461009979248047,-0.7145227789878845
3.948,-0.23612195253372192,-0.1276717633008957,0.6485801339149475,-0.7122430801391602
3.964,-0.2367747575044632,-0.126570463180542,0.6510499715805054,-0.7099659442901611
3.988,-0.2377430945634842,-0.12480521202087402,0.6547554731369019,-0.7065388560295105
4.004,-0.23837696015834808,-0.12356150895357132,0.6572185158729553,-0.7042533755302429
4.024,-0.2391536384820938,-0.12194414436817169,0.6602810025215149,-0.7014015316963196
4.044,-0.23991136252880096,-0.12026406079530716,0.6633217334747314,-0.6985580325126648
4.064,-0.2406494915485382,-0.11852869391441345,0.6663352847099304,-0.6957269906997681
4.08,-0.24123643338680267,-0.117120660841465,0.6687233448028564,-0.6934672594070435
4.1,-0.2420114278793335,-0.1153847873210907,0.6716618537902832,-0.6906426548957825
4.12,-0.2428172081708908,-0.11365815252065659,0.6745900511741638,-0.6877862811088562
